Name,ID,URL
Gudakesh Motie,64262,https://www.cricket.com/players/gudakesh-motie-64262/recent
Kevin Sinclair,73942,https://www.cricket.com/players/kevin-sinclair-73942/recent
Jayden Seales,73200,https://www.cricket.com/players/jayden-seales-73200/recent
Agha Salman,64078,https://www.cricket.com/players/agha-salman-64078/recent
Omair Yousuf,67921,https://www.cricket.com/players/omair-yousuf-67921/recent
Abrar Ahmed,66884,https://www.cricket.com/players/abrar-ahmed-66884/recent
Usman Khan,67777,https://www.cricket.com/players/usman-khan-67777/recent
Mohammad Ali,82757,https://www.cricket.com/players/mohammad-ali-82757/recent
Milan Rathnayake,66719,https://www.cricket.com/players/milan-rathnayake-66719/recent
Jeffrey Vandersay,57709,https://www.cricket.com/players/jeffrey-vandersay-57709/recent
Dhananjaya De Silva,57440,https://www.cricket.com/players/dhananjaya-de-silva-57440/recent
Prabath Jayasuriya,62411,https://www.cricket.com/players/prabath-jayasuriya-62411/recent
Nishan Peiris,65323,https://www.cricket.com/players/nishan-peiris-65323/recent
Pathum Nissanka,66368,https://www.cricket.com/players/pathum-nissanka-66368/recent
Kusal Mendis,63882,https://www.cricket.com/players/kusal-mendis-63882/recent
Kamindu Mendis,65034,https://www.cricket.com/players/kamindu-mendis-65034/recent
Ramesh Mendis,63899,https://www.cricket.com/players/ramesh-mendis-63899/recent
Asitha Fernando,65029,https://www.cricket.com/players/asitha-fernando-65029/recent
Sadeera Samarawickrama,63897,https://www.cricket.com/players/sadeera-samarawickrama-63897/recent
Lahiru Kumara,65033,https://www.cricket.com/players/lahiru-kumara-65033/recent
Oshada Fernando,57340,https://www.cricket.com/players/oshada-fernando-57340/recent
Angelo Mathews,5244,https://www.cricket.com/players/angelo-mathews-5244/recent
Dinesh Chandimal,4393,https://www.cricket.com/players/dinesh-chandimal-4393/recent
Sonal Dinusha,69670,https://www.cricket.com/players/sonal-dinusha-69670/recent
Ryan Rickelton,64941,https://www.cricket.com/players/ryan-rickelton-64941/recent
Vignesh Puthur,83549,https://www.cricket.com/players/vignesh-puthur-83549/recent
Krishnan Shrijith,67627,https://www.cricket.com/players/krishnan-shrijith-67627/recent
Reece Topley,58101,https://www.cricket.com/players/reece-topley-58101/recent
Mujeeb Ur Rahman,67540,https://www.cricket.com/players/mujeeb-ur-rahman-67540/recent
Karn Sharma,5090,https://www.cricket.com/players/karn-sharma-5090/recent
Arjun Tendulkar,69659,https://www.cricket.com/players/arjun-tendulkar-69659/recent
